description,Department
alhamd service consultantnbspnew delhiurgent required trailer driver candidate saudinbspnbspagenbsp returnfreshnbspecr passport requirednbspcontractnbsp yearnbspprocessing time flight gone daysnbspdutynbsp hour time accommodationnbspdocuments requirednbspnbsp valid passportnbsp resume mobile numbernbsp qualification certificatenbsp valid driving licencenbsp photonbspnbspthank younbspnbsp retail,IT
urgently require candidate online partfull time promotion work tourismspend hour one day study regularnbspjobno work pressureno time boundno targetno bosscall moredeepak executivenbsp hs hlr atca international flight linux development graudate bba graduate mgw post msc,Marketing
unique travelite servicestaking great step female looking part time opportunity want turn spare time money providing best opportunity hour internet produce per week promote tourism product surfing internet hr home onlymryash manager mmo mmic mma wad mme sale bbedit infoview dso bps mm bbsa bb bpo bbp bobj fresher student sap work device layer retail sale complex deski sap showroom bex sap,Digital Marketing
job available part timer full timer alsowe need passionate people customer service contribute promotion amp growth business travel amp tourism earn huge benefit form income weeklymonthly freebie amp excellent opportunity build network amp visibility countrywide target product selling bos work pressure committed amp interested people call looking forward transforming dream realityhr managermiss salma mirza algorithm bscs mme mma mm mmts bbsa bb dpr marketing sale graduate graduate fresher data structure algorithm development layer phy bsc nokia bsc detailed project report bid evaluation ppa assistant manager team management client relationship management product promotion marketing intelligence sale officer fmcg sale channel management market penetration sale internet sale,Marketing
talent hunter hiring tour travel company preferred tour travel onlydepartment product contracting international amp domestic opening departementbasic requirementnbspmiddot target domestic corporate selling marketing major event like meeting incentive conference exhibition micemiddot must knowledge indestinationmiddot must knowledge incostingnegotiating contractingrates suppliersmiddot discus clientsrsquo requirement provide advice worldwide destination tour accommodation flight understanding clientsrsquo interest purpose visitmiddot designed attractive travelitinerariesfor clientsmiddot good knowledge oftoursim marketingtechnique encourage destination travelmiddot excellent social interpersonal skill pleasant personalitymiddot proficiency microsoft word excel powerpointmiddot ability managetravel plansandorganisetask systematic effective administration managerial skillsmiddot conductingresearchaccording requirement clientregardspinkynbsp major selling target marketing administration research hiring tour basic mouse skill costing interpersonal negotiating contracting tour package designing itinerary,Ticketing
handling client query concernshandling visa application countriescoordinating client phone emailsresolving issue client may havehandling escalation clientsmeeting clientsproviding appropriate guidance client make case stronger visadesired candidate profileexcellent verbal written english skillsgood coordination client worker excellent follow process visa processing visa documentation visa assistance,Ticketing
dear readerswe looking fresher professionalsstudents housewife good public relation internet friendlypart timefull time workweekly work spare time smart phonescontact detailshr recruitermanish kumarnbsp marketing training sale bpo hiring development handling freelancing fresher internet experience email business part full time chat team leader,Public Relations 
urgent position required corporate sale executive cum corporate sale profile travel industry saaneaal locationspost corporate sale executiveno urgently requiredexpmonth yearssalary klocation ludhiana saanewaalor nearby punjaab locationjob descriptionattending online web query domestic tourssending proposal package tour amp hotel booking preparing itinerary domestic holiday packagesconverting genuine lead businesssales acumen must achieving goalsgood communication skill written verbal nbspmust knowledge domestic package amp destinationsproven track record converting hotel amp package lead businessshould expertise designing itinerary amp costingpleasing personalitybike must profile valid dlintrested call aditya kumar mail corporate sale executive tour travel company saanewal,Sales
hiring travel profile experienced amp iata freshersprofiles ticketingdomestic operationsinternational operationsmiceholidaynbspexecutivelocation andheri eastwork schedule day night rotational depends profilesalarynbspdepends profileinterested candidate may share yournbspcv call onnbspkind regardsbrinelle fonseca career consultantarsenius skill capitalweb wwwarseniusskillcapitalcom domestic operation mouse operation outbound tour inbound tour ticket booking holiday package international operation reservation ticketing,Ticketing
urgent opening profile ofnbsptour ticketing operator amp bdm location pitampura amp karol baaghjob descriptionnbspinteraction corporate client travel requirementreservation ampticketing crsgalileoamadeus online portalitinerary amp fare constructionreissuingtickets towards date change penaltiesupgrades amp reroutings involvedoutbound tour package knowledgesolving escalation first endcoordination airline regarding reservation issueshandling visa requesthandling foreign exchange travel insurancehandling web check seat allocationsalary industrytravel hotel restaurant airline railwaysfunctional area travel tour ticketing airline packaging role categoryticketingtraveldocumentationkeyskillsticketing galileo amadeus reservation travel insurance itinerary cr airline web technology foreign exchange outbound outbound salesnbspfor query please contact meenakshi send cr ticketing exchange bdm airline sale allocation construction tour amadeus galileo insurance fare outbound foreign,Ticketing
urgent position required corporate sale executive cum corporate sale profile travel industry saaneaal locationspost corporate sale executiveno urgently requiredexpmonth yearssalary klocation ludhiana saanewaalor nearby punjaab locationjob descriptionattending online web query domestic tourssending proposal package tour amp hotel booking preparing itinerary domestic holiday packagesconverting genuine lead businesssales acumen must achieving goalsgood communication skill written verbal nbspmust knowledge domestic package amp destinationsproven track record converting hotel amp package lead businessshould expertise designing itinerary amp costingpleasing personalitybike must profile valid dlintrested call aditya kumar mail corporate sale executive tour travel company saanewal,Sales
urgent position required corporate sale executive cum corporate sale profile travel industry saaneaal locationspost corporate sale urgently requiredexpmonth yearssalary klocation ludhiana saanewaalor nearby ludhiana locationjob descriptionattending online web query domestic tourssending proposal package tour amp hotel booking preparing itinerary domestic holiday packagesconverting genuine lead businesssales acumen must achieving goalsgood communication skill written verbal nbspmust knowledge domestic package amp destinationsproven track record converting hotel amp package lead businessshould expertise designing itinerary amp costingpleasing personalitybike must profile valid dlinterested call aditya kumar mail sale travel executive tour saanewal corporate company,Sales
opening travel process customer service voice processnbspfreshers amp experienced candidate also applynbspnbspresponsibilitiesnbspwill responsible providing customer support client related reservation ticketing bookingproviding support fare chargesreceiving call providing passenger best destination guiding best dealsmaking professional accurate cost effective travel arrangement client providing excellent customer servicehelping client travel planning business package vacation package well travel advice amp informationselling vacation package including flight amp hotelsmaking itinerary domestic international travelnbspdesired candidatesnbspqualification undergraduate graduate amp passnbspjob location delhi gurgaonnbspshift timing day night shiftsnbspworking day nbsptransportation yesnbspsalary ctc ctc pmnbspnbspnbspnbspnbspcontact daynbspbetween pmnbspnbspnbspvishal nbspnbspnbspnbsp important charge registration placement charge amp job nbsp travel process ticketing travel process reservation ticketing travel sale consultant travel agent travel executive travel reservation travel agent travel executive travel process,Ticketing
opening travel process customer service voice processnbspfreshers amp experienced candidate also applynbspnbspresponsibilitiesnbspwill responsible providing customer support client related reservation ticketing bookingproviding support fare chargesreceiving call providing passenger best destination guiding best dealsmaking professional accurate cost effective travel arrangement client providing excellent customer servicehelping client travel planning business package vacation package well travel advice amp informationselling vacation package including flight amp hotelsmaking itinerary domestic international travelnbspdesired candidatesnbspqualification undergraduate graduate amp passnbspjob location delhi gurgaonnbspshift timing day night shiftsnbspworking day nbsptransportation yesnbspsalary ctc ctc pmnbspnbspnbspnbspnbspcontact daynbspbetween pmnbspnbspnbspvishal nbspnbspnbspnbsp important charge registration placement charge amp job nbsp travel process ticketing travel process reservation ticketing travel sale consultant travel agent travel executive travel reservation travel agent travel executive travel process,Ticketing
responsibilitiesa minimum year experience front office preferredgood lookingfresherrsquos also applyjob typefulltimesalary monthjob locationsalem tamil nadurequired educationany degreerequired experiencefront office yearsrequired languageenglishtamil optional hindi malayalam job type fulltime office basic computer knowledge tele service,Administration
job descriptionnbspdesired candidate profileany diploma degree ndash good marketing skillswork experienceminimum required business planning business promotion communication skill,Sales
job descriptionnbspdesired candidate profileany graduate ndash fluency englishnbspwork experience year required sale professional business communication skill,Sales
opening operation executive nehruplace delhi travel industrynbsplocation nehru placenbspindustry travel amp tourism inbound tour japannbspposition operation executivenbspexperience yrnbspsalary best industrynbspprofile inbound toursticket booking hotel bookinghellipcoordination guest vendorsnbsp operation inbound,Back office ticketing
job responsibilitiesnbspdesired candidate profileany diploma degree ndash good marketing skillsnbspwork experience minimum required public speaking communication skill,Sales
arsenius skill capital urgent requirement corporate salespositionnbspcorporate salesdesignationassistant managermanagersr managercompensation lac lac palocationmumbaijob rolenbspthis job profile requires candidate build strong client relation manage overall functionality improve corporate sale amp operation profile requires customer centric professional acquire new account manage end end travel planning corporatenbspcandidate profilegraduates mba preferable tourism year minimum experience given role handling corporate marketing sale candidate handling corporate marketing sale telecom finance retail also considerednbspjob responsibilitiesinterested candidate may share call kind regardsangee nandi arsenius skill capital sale marketing sale corporate sale business development business business sale sale channel sale,Sales
alhamd service consultant serviceeast delhi bhajanpura new delhi job visa saudi arabia countryurgent requirednbsplmv driver job saudi arabia countryage yearduty hour accomadationecnr passport requireddocument required valid passport driving licenceresume qualification certificate photothank retail channel,Maintenance
alhamd service consultant serviceeast delhi bhajanpura new delhi job visa saudi arabia countryurgent required return lmv driver job saudi arabia countryage yearduty hour trip nbsp accomadationecnr passport requireddocument required valid passport driving licencenbspresume qualification certificate photothank retail channel,Maintenance
arsenius skill capital leading travel mnc direct company payrollif bpo employee want make career travel amp tourism sector call todaywe hiring globally renowned travel mnccompany profile hiring reputed multi national travel company catering domestic international clientspositions sale amp customer service executive ndash ldquointernational travelrdquojob description hiring destination management division inbound customer service amp sale domestic amp international holiday packagesnbspthe job requires prior work experience knowledge international bpo voice process managing inbound call traveling customerscandidate profilebull minimum month bpo experience customer service sale lead generation etc inbull customer centric excellent communication skillsbull hsc graduatesbull day shift day workingjob descriptionmiddot handle customer inbound callmiddot explain product customermiddot upselling holiday packageslocation andheri mumbairemuneration lac perk incentive benefitsinterested candidate call angee send resume angeearseniusskillcapitalcomshare mail may benefitarsenius skill capital routing skill opportunitiesskillcapital customer service sale customer handling lead generation,Customer service
dear candidatewe job opening mnc company nbspfor fit nbspoperationplease find referencenbspeligibility criterion good communication skill designed attractive travel itinerary best price knowledge costing amp negotiating rate supplier working knowledge fit packagesnbspshould year work experience travel industryknowledge major hotel chain property major tourist attraction client handling skill itinerary making amp costing packagesbasic computer knowledge along experience using office email internetgood communicating skill able write work communicate individually emailsknowledge various aspect outbound tour hotel attraction logistics general operationalknowledge hotel tour amp transfer attraction procedure procedurebasic knowledge major hotel chain property major tourist attraction far east amp asiagood knowledge computer good knowledge office excelgood communication skillnbspif profile suitable nbspplease contact mail nbspor contact numbernbspregardsmadhurinbsp git itnerary handled fit package tour operation costing,Ticketing
dear candidategreetings continental immigrationimmediate opening immigration consultantlocation nehru place new delhiexperience yrjob timing pmjob responsibilitiesinterested candidate send resume call target visa processing business development management visa counselling client relationship manager immigration consultant sale immigration counselor,Sales
urgent requiredimmigration consultant executive ndashchandigarhfemalekposition immigration consultant executive full timelocationchandigarhsalary incentive based experiencegender female onlyplease apply female candidate onlynbsplooking sale oriented female candidate immigration consultant office manage le supervision desire learn progress join immediately nbspresponsibilitiesnbspmiddot able handle office le supervisionmiddot good communication convincing skillsmiddot generating business converting leadsmiddot providing information different visa process call emailsmiddot deal client looking australian visamiddot able prepare visitor visa letter consular letter well port entry lettersmiddot able call high commissionmiddot keeping regular follow client fornbspimmigrationnbspprocessmiddot able handle filling student visa visitor visa spouse visa etcmiddot skill draft email letter immigration purpose nbspprofile include quality candidate prior experience sale candidate pleasing personality candidate good command english candidate quick learner candidate counseling experiencenbspsend updated resume email consulting sale consultant lead generation business development inside sale immigration consultant,Sales
talent hunter hiring tour travel companymnc nbspprofile customised toursfit specialistlocationsvijayawadaap amp telengana saifabadhyderabadjayanagarbangalorevacancies vacancy locationsdeptnbspfranchiseenbspexposure experience customised tour sale destination like europe australia south africa dubai far eastcommunication skillsgood communication skill mandatory knowledge english amp local languageexperiencein yearsminimum yearssalaryctcsahakar nagarlpajayanagar amp saifabadlpavijayawadalpanotice periodimmediate joinees preferred max upto monthnbspnbspnbspif interested send email call number thanks amp regardspinkynbsp sale tour package fit,Sales
urgently required travel sale executive travel companynbsplocation rohinisalaryhike current salary per industry normsexperiencemin year travel industrynbspjob responsibilitiesdealing client call mailsnbspoffering best possible deal clientstarget orientednbspinterested may contact via mail nbspnbsp telesales target sale outbound sale travel outbound tour travel sale holiday package,Sales
dear readerswe hiring fresher candidate online promotion workno time boundationno targetno bosswe team expert field hugely amp mainly supported peoplewe ut pvt ltd believe give self business opportunityreliable responsible quick result transparencynbspcall infogaurav pandeyhr executive mail marketing executive full retired mba fresher student freelancer time bound undergraduate direct part bba chat online housewife engineer,Digital Marketing
dear candidateswe urgently hiring malefemale candidate advertising work tourism industriesiso certified company registered mcaministry corporate affairsweekly paymentno time boundno targetcall infonbsphr manager miss shahana khan marketing sale recruitment affair gurgaon full retired noida mumbai student delhi experience graduate part time fresher post corporate,Digital Marketing
dear candidatesunique travelite service ut looking individual promote business internet travel amp tourism part timefull time amp provide customer service people across indiawork earn govt authorized companypart time full time nbspare availablewe require candidate know operate computer internet basicallysalary paid performance dedicationinterested call usgovind singhhr executive marketing sale bpo full student mba experience graduate freelancer part bba time fresher,Digital Marketing
urgent requirement senior tour consultant travel company company saanewal locationspostsenior tour consultant travel company saanewal location position open urgently requiredwe urgent opening male female candidate travel companynbspno opening nbspdomesticinternational consultantsvisa consultantsnbspminimum qualificationgraduate streamnbspexperience experienced yearsnbspresponsibilitiesnbspbull ability handle package national internationalbull knowledge nationalinternational vendor tour packagesbull air ticketing hotel bookingsbull deal travel agent retailersbull making online reservationsbull coordinate travel logisticstransportationbull guide traveller tourrsquos itinerarybull coordinating client visa documentation applicationbull able convert lead chat voice call customersmiddot able interact convince corporate make booking travel agencymiddot cold calling fixing meeting ndash field marketingnbspskills competenciesnbspbull ability work teambull good communication skill english hindi local languagebull personally motivated positive attitudebull knowledge computernbspsalary per month incentive negotiableintrested candiadtes call aditya kumar mail ticketing english communication documentation air hindi marketing skill booking hotel visa,Ticketing
basic computer knowledgefresherrsquos also applyjob type fulltimejob locationsalem tamil nadurequired educationany degreerequired experience yearsrequired languageenglish tamilnbspjob type fulltimenbsp surfing basic computer knowledge office internet,Technology
job responsibilityidentify correct prospect according eligibility standard amp convert saleestablish maintain current client potential client relationshipsregular follow enquiry receivedidentify resolve query amp handling objection clientsmaximum achievement goal service levelseffective pipeline managementable achieve monthly targetany added responsibility assigned superior enhance abilitydesired candidate profileexcellent communication convincing amp analytics skillsability demonstrate professional courteous mannerstrong selling amp negotiation skillssales focused result orientated amp able work pressurepleasing personality telesales sale counselling inside outbound telecalling calling,Sales
immigration consultant sale consultantnbspwe seeking hire ambitious enthusiastic dynamic result oriented professional sale experience fill sale consultant position opportunity promoted consultantassistant process short span timeexcellent incentive schemequick growth opportunity right talentsknowledge enhancing profilenbspjob responsibilitynbspdescribe different visa application process benefit special offer clientsidentify correct prospect according eligibility standard amp convert saleestablish maintain current client potential client relationshipsregular follow enquiry receivedidentify resolve query amp handling objection clientsmaximum achievement goal service levelseffective pipeline managementable achieve monthly targetany added responsibility assigned superior enhance abilitydesired candidate profileexcellent communication convincing amp analytics skillsability demonstrate professional courteous mannerstrong selling amp negotiation skillssales focused result orientated amp able work pressurepleasing personalitysales professional immigration background also preferrednbspmalefemale candidate requiredworking location new friend colony sale bpo sale video processing leader inside sale team,Ticketing
talent hunter hiring tour travel company nbspposition store managerfranchiseelocations hyderabadvijaywadanellorebelgaumdepartment franchiseenbspjob requirement candidate specificationmiddot experience selling product group fit package international amp domesticmiddot knowledge companyrsquos productstotal expminimum yr experience travel amp tourismmiddoteducation qualification graduateshould traveltourism industrysalaryctc max lpanotice periodimmediate joinees preferredif interested send email call number nbspregardsnbsppinkynbspnbspnbspnbsp store manager,Finance
arsenius skill capital hiring dgm product amp contractingposition deputy general managerlocation mumbaictc lac pajob responsibilitiesresponsible product developmentmiddot develop new innovative productsmiddot enhance existing productsmiddot market researchmiddot strategic advise operation supportmiddot stake holder managementmiddot marketing initiativesmiddot develop strategyresponsible contractingmiddot series pricingmiddot tactical contractingmiddot special promotional offersmiddot updation enquiry received branch corporate lead systemmiddot send quote request using quotation modulemiddot revert enquiry available option within time linemiddot negotiating quote amp post confirmation finalization tourmiddot fill handover format highlighting special requirementsmiddot confirm service send handover operationsmiddot maintain query conversion reportmiddot follow supplier outstanding paymentsprinciple accountabilitymiddot product development amp contractingmiddot reverting enquiry quote amp finalization quotemiddot follow outstanding paymentsdesired candidate profilemiddot negotiation skillsmiddot well versed tourist destination knowledgemiddot hand excel computer savvymiddot good written amp verbal communicationmiddot ability work pressuremiddot interpersonal skillsmiddot time managementnbspinterested applicant speak angee ndash send resume operation promotion management marketing support well system general strategy pricing communication research development product travel management skill travel hotel contracting interpersonal time,Ticketing
exp year saleskrashandle customer mainly international flight bookingsstrong sale amp convincing skillsexperience sale process onlynot customer service bbcorporategood geographical knowledge city code airport code etcexcellent knowledge amadeusmeet conversion revenue sale targetsresponsible revenue generation companysound knowledge domestic international flight saleswilling work shiftsexcellent communication skill english hindi punjabigood stability backgroundgood written english skill immediate joining requiredlocation neta subhash place pitampura delhi communication english sale amadeus customer skill flight service international,Ticketing
talent hunter manpower solution hiring tour travel companyexperience year senior global contracting product designing portfoliocost negotiablenbspmiddot efficient communicatornbspacross partner destination management company tourism board internal external client sale team stakeholdersmiddot planning forecasting ability plan set product solution end end ability foresee forecast direct business consequence actionsmiddot innovationnbspunderstand specific need global office nbspand create competitive contemporary winning productsmiddot leadershipnbspdisplay ability lead front deliver team responsibility independentlyregardsshubh forecasting sound knowledge efficient destination planning leadership innovation communicator,Ticketing
talent hunter manpower solution hiring tour travel companyexperience year senior global contracting product designing portfoliocost negotiablenbspmiddot efficient communicatornbspacross partner destination management company tourism board internal external client sale team stakeholdersmiddot planning forecasting ability plan set product solution end end ability foresee forecast direct business consequence actionsmiddot innovationnbspunderstand specific need global office nbspand create competitive contemporary winning productsmiddot leadershipnbspdisplay ability lead front deliver team responsibility independentlyregardsnbsppinky forecasting sound knowledge efficient destination planning leadership innovation communicator,Ticketing
dear candidatewe job opening mnc company product amp contracting department fitamp git outbound nbspsector europe amp usaplease find nbspproducts contracting leisure outboundexperience year senior global contracting product designing portfoliocost negotiablejob location fortrequirement immediatemiddot sound destination knowledge america africa middle east indian ocean orient china japan koreamiddot efficient communicator across partner destination management company tourism board internal external client sale team stakeholdersmiddot planning forecasting ability plan set product solution end end ability foresee forecast direct business consequence actionsmiddot innovation understand specific need global office cnk create competitive contemporary winning productsmiddot leadership display ability lead front deliver team responsibility independentlynbspif nbspprofile suitable revert back mail contracting product,Ticketing
job description good communication skill minimum year experience travel industry good navigation skill handling customer queriescalls regarding air ticketing package sale holiday sale candidate travel background travel industry knowledge amadeus mandatoryeligibility graduate graduate excellent communication interpersonal skill able handle customer query travel background candidate applyamadeus knowledge mandatory day working roster offnbsplocationrohinirajourisalaryupto kknowledge required amedeusus processinbound salesnbsptimingpm amsaturday amp sunday fixed offfor detail call amp communication amadeus ticketing air upselling process inbound travel sale travel sale,Ticketing
sale mouse travel new business,Sales
amadeus ticketing galileo fare travel process,Ticketing
tour air ticket excth month yearsmale female bothexperience month yearseducationnbspnbsp abovenbsplocation nbspnew sangavinbspsalary bar right candidatecompany info tour travelsnbspfor detailsnbspvisit office nbspganesh system placement servicesnbspshahu colony lane karvenagarnbspnear cummines collegenbspnbsp tour tourism travel agency tour package,Ticketing
accountant male female yearsnew sangaviexperience nbspyearseducationnbspgrads tally mustlocation nbspnbspnew sangavinbspsalary bar right candidatecompany info nbsptours travelsnbspnbspnbspfor detailsnbspvisit office nbspganesh system placement servicesnbspshahu colony lane karvenagarnbspnear cummines collegenbspcall whats app web wwwganeshsystemsweeblycom accountant account,Finance
apply interested work new delhidelhiwe looking recruiter full cycle recruiting experience attract screen select board qualified suitable personnel fill job openingsresponsibilities partner managercustomers get clear view strategic financial objective hiring need devise carry targeted research strategy develop update job description job specification perform job task analysis document job requirement objective prepare post job appropriate job boardnewspaperscolleges etc source attract candidate using database social medium etc screen candidate resume job application conduct interview using various reliable personnel selection toolsmethods filter candidate within schedule ass applicant relevant knowledge skill soft skill experience aptitude present short listed candidate provide detailed profile summary offer guidance facilitate negotiation process completion follow client assist candidate transition boarding process network build longlasting client relationship know area expertise specialized industry job function research develop recruiting leadsrequirements proven working experience recruiting deep understanding recruitment process proficiency using applicant tracking system at recruiting software candidate database strong knowledge candidate selection method previous experience candidate sourcing tool method excellent knowledge area expertise market status trend best practice client focus along relationship building skill business acumen market insight effective negotiation influencing communication skill integrity confidentiality apply schedule prescreening interview ghoomley travel leading travel agency offering best price hotel holiday package across india negotiation soft software management source communication industry transition focus integrity research recruitment sourcing hiring system database strategy tool screening vendor skill medium interviewing recruiting social,Learning and Development 
need tour package executivejd year experience tour packagessalary klocation pitampura delhimale female applynbspgraduate garduate apply tour tour outbound tour tour package itinerary holiday package,Ticketing
web devloper apijd year exp web devloper apisalary kcp delhinbspjob location cannaught placeexperience candidate requiremale female gender apply api web development,Technology
communication skill exceptional customer service skill sale ability,Sales
primary role tsmtso prospect new clientsfranchisetravel agent networking reference cold callingadvertising mean generating interest potential client must plan persuasive approach andpitches convince potential client business company must develop rapport new client andset target sale provide support continually improve relationship also required grow andretain existing account presenting new solution service clientstsmtso work mid senior levelmanagement marketing technical staff heshe may manage activity others responsible developing businessfor company strategic planning key part job description since tsmtsorsquos esposiility deelop thepipeline new business coming company requires thorough knowledge market solutionsservicesthe opay poide opayrsquos opetitos exact responsibility vary company tocompany marketing support sale advertising cold planning calling strategic,Sales
talent hunter manpower solution hiring tour travel companyexperience year senior global contracting product designingnbspinternationalcost negotiablenbspnbsp,Ticketing
hiring travel sale consultant yatracomlocation gurugramdepartment international holidayssalesdesignation travel sale consultantexperience month yearssalary incentivestimings hour shift ampm day workingimmediate joining requiredcandidates holiday sale background preferredinterested call meghna drop tourism voice process package holiday tour package travel sale,Ticketing
